専門基礎（流通）
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,20,0,20,0,60,200,,
,基礎的能力,50,10,0,10,0,30,100,,
,専門的能力,50,10,0,10,0,30,100,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

専門基礎（情報）
,,作品作り・プレゼンテーション,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,0,0,0,0,30,100,,
,基礎的能力,70,0,0,0,0,30,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

コンピュータ概論
,,試験,小テスト,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,70,20,10,0,0,0,100,,
,基礎的能力,70,20,10,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

流通と情報
,,試験,課題,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,60,30,0,10,0,0,100,,
,基礎的能力,30,20,0,10,0,0,60,,
,専門的能力,30,10,0,0,0,0,40,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

流通演習
,,試験,発表,相互評価,態度,ポートフォリオ,レポート・課題,合計
,総合評価割合,0,0,0,0,0,100,100,,
,基礎的能力,0,0,0,0,0,100,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

流通情報工学実習
,,試験,発表,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,0,20,60,0,20,0,100,,
,基礎的能力,0,20,60,0,20,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

情報演習
,,試験,小テスト,レポート・課題,発表,成果品・実技,その他,合計
,総合評価割合,60,0,30,10,0,0,100,,
,基礎的能力,60,0,30,10,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

社会人基礎力演習
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,60,10,0,0,15,15,100,,
,基礎的能力,30,10,0,0,10,10,60,,
,専門的能力,20,0,0,0,5,5,30,,
,分野横断的能力,10,0,0,0,0,0,10,,
,,,,,,,,,,

知的財産基礎
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,60,0,0,10,0,30,100,,
,基礎的能力,0,0,0,0,0,0,0,,
,専門的能力,60,0,0,10,0,30,100,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

会計学
,,定期試験,小テスト,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,30,30,40,0,0,0,100,,
,基礎的能力,10,10,0,0,0,0,20,,
,専門的能力,20,10,20,0,0,0,50,,
,分野横断的能力,0,10,20,0,0,0,30,,
,,,,,,,,,,

物流概論
,,試験,課題,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,80,20,0,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

情報基礎（情報）
,,試験,小テスト,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,70,20,10,0,0,0,100,,
,基礎的能力,70,20,10,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

情報基礎（経営）
,,試験,小テスト,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,50,5,25,5,0,0,85,,
,基礎的能力,25,5,20,5,0,0,55,,
,専門的能力,25,0,5,0,0,0,30,,
,分野横断的能力,0,0,0,,,,,,
,,,,,,,,,,

プログラミング基礎
,,試験,発表,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,60,0,40,0,0,0,100,,
,基礎的能力,30,0,20,0,0,0,50,,
,専門的能力,30,0,20,0,0,0,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

オペレーティングシステム基礎
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,5,0,5,10,0,100,,
,基礎的能力,60,5,0,5,10,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

統計学
,,試験,課題演習,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,30,0,0,0,0,100,,
,基礎的能力,70,30,0,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

財務会計
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,0,0,0,0,30,100,,
,基礎的能力,50,0,0,0,0,20,70,,
,専門的能力,20,0,0,0,0,10,30,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

プログラミング基礎演習
,,試験,小テスト,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,40,20,40,0,0,0,100,,
,基礎的能力,40,20,40,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

簿記演習
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,0,0,0,0,30,100,,
,基礎的能力,50,0,0,0,0,20,70,,
,専門的能力,20,0,0,0,0,10,30,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

現代ビジネス
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,60,0,0,0,0,40,100,,
,基礎的能力,10 ,0,0,0,0,30,40,,
,専門的能力,40 ,0,0,0,0,10 ,50,,
,分野横断的能力,10,0,0,0,0,0,10,,
,,,,,,,,,,

経営学概論
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,0,0,0,0,20,100,,
,基礎的能力,40,0,0,0,0,10 ,50,,
,専門的能力,40,0,0,0,0,10,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

経済学概論
,,定期試験,小テスト,レポート・課題,態度,ポートフォリオ,その他,合計
,総合評価割合,30,30,40,0,0,0,100,,
,基礎的能力,10,10,0,0,0,0,20,,
,専門的能力,20,10,20,0,0,0,50,,
,分野横断的能力,0,10,20,0,0,0,30,,
,,,,,,,,,,

商法
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,60,0,0,10,0,30,100,,
,基礎的能力,0,0,0,0,0,0,0,,
,専門的能力,60,0,0,10,0,30,100,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

情報数学
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,10,0,10,0,0,100,,
,基礎的能力,60,10,0,10,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

ネットワーク基礎
,,試験,小テスト,レポート・課題,発表,成果品・実技,その他,合計
,総合評価割合,70,20,10,0,0,0,100,,
,基礎的能力,70,20,10,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

データベース
,,試験,小テスト,レポート・課題,発表,成果品・実技,その他,合計
,総合評価割合,70,0,30,0,0,0,100,,
,基礎的能力,0,0,0,0,0,0,0,,
,専門的能力,70,0,30,0,0,0,100,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

システム構築
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,0,0,10,0,20,100,,
,基礎的能力,0,0,0,0,0,0,0,,
,専門的能力,70,0,0,10,0,20,100,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

プログラミング応用
