特別活動
,,試験,レポート,成果物,態度,ポートフォリオ,その他,合計
,総合評価割合,0,40,20,0,0,40,100,,
,知識の基本的な理解,0,10,0,0,0,10,20,,
,思考・推論・思考への適応力,0,10,0,0,0,0,10,,
,主体的・継続的な学習意欲,0,10,0,0,0,0,10,,
,チームワーク力,0,0,10,0,0,10,20,,
,態度・志向性（人間力）,0,10,10,0,0,20,40,,
,,,,,,,,,,

音楽
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,100,0,0,0,0,100,,
,基礎的能力,0,80,0,0,0,0,80,,
,態度,0,20,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

美術
,,試験,成果物,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,60,0,40,0,0,100,,
,基礎的能力,0,60,0,0,0,0,60,,
,態度・人間性,0,0,0,40,0,0,40,,
,応用力,0,0,0,0,0,0,0,,
,,,,,,,,,,

書道
,,試験,成果物・実技,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,100,0,0,0,0,100,,
,基礎的能力,0,25,0,0,0,0,25,,
,創造性,0,25,0,0,0,0,25,,
,態度,0,50,0,0,0,0,50,,
,,,,,,,,,,

国語
,,試験,小テスト,レポート,口頭発表,ポートフォリオ,成果物・実技,合計
,総合評価割合,70,0,0,0,0,30,100,,
,知識の基本的な理解,20,0,0,0,0,10,30,,
,思考・推論・創造への適応力,30,0,0,0,0,10,40,,
,汎用的技能,20,0,0,0,0,10,30,,
,リーダーシップ・コミュニケーション力,0,0,0,0,0,0,0,,
,態度・志向性(人間力) ,0,0,0,0,0,0,0,,
,,,,,,,,,,

地歴１
,,試験,発表,提出物,態度,その他1,その他2,合計
,総合評価割合,120,20,60,100,0,0,300,,
,基礎的能力,100,0,0,0,0,0,100,,
,態度・人間性,0,0,0,100,0,0,100,,
,応用力,20,20,60,0,0,0,100,,
,,,,,,,,,,

総合英語
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,10,0,10,10,0,100,,
,基礎的能力,50,0,0,10,10,0,70,,
,専門的能力,20,5,0,0,0,0,25,,
,分野横断的能力,0,5,0,0,0,0,5,,
,,,,,,,,,,

英語表現
,,試験,発表,成果物・実技,態度,小テスト,その他,合計
,総合評価割合,0,14,42,0,8,36,100,,
,知識の基本的な理解,0,5,19,0,4,19,47,,
,思考・推論・創造への適応力,0,4,4,0,2,4,14,,
,汎用的技能,0,3,17,0,2,3,25,,
,態度・志向性（人間力）,0,0,2,0,0,2,4,,
,リーダーシップ・コミュニケーション力,0,0,0,0,0,2,2,,
,分野横断的能力,0,2,0,0,0,6,8,,
,,,,,,,,,,

基礎英語
,,定期試験,小テスト,レポート,口頭発表,成果物・実技,ポートフォリオ,その他,合計
,総合評価割合,60,20,0,0,10,0,10,100,,
,知識の基本的な理解,60,10,0,0,10,0,0,80,,
,思考・推論・創造への適応力,0,0,0,0,0,0,0,0,,
,主体的・継続的な学習意欲,0,10,0,0,0,0,0,10,,
,態度・志向性(人間力) ,0,0,0,0,0,0,10,10,,
,,,,,,,,,,,

数学１
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,10,0,0,0,10,100,,
,知識の基本的な理解,60,5,0,0,0,0,65,,
,思考・推論への適応,20,5,0,0,0,0,25,,
,態度・志向性,0,0,0,0,0,10,10,,
,,,,,,,,,,

数学２
,,試験,発表,提出物,態度,その他,合計
,総合評価割合,80,5,10,0,5,100,,
,基礎的能力,70,0,5,0,5,80,,
,態度・人間性,0,5,5,0,0,10,,
,応用力,10,0,0,0,0,10,,
,,,,,,,,,

化学
,,試験,小テスト,レポート,態度,ポートフォリオ,その他,合計
,総合評価割合,75,5,10,5,5,0,100,,
,基礎的能力,50,5,10,0,5,0,70,,
,施行・推論・創造への適応力,20,0,0,0,0,0,20,,
,主体的・継続的な学習意欲,5,0,0,5,0,0,10,,
,,,,,,,,,,

物理
,,定期試験,小テスト,レポート,口頭発表,成果物実技,ポートフォリオ,その他,合計
,総合評価割合,70,0,10,0,0,10,10,100,,
,知識の基本的な理解,40,0,10,0,0,10,10,70,,
,思考・推論・創造への適応力,20,0,0,0,0,0,0,20,,
,汎用的技能,10,0,0,0,0,0,0,10,,
,リーダーシップ・コミュニケーション力,0,0,0,0,0,0,0,0,,
,態度・志向性（人間力）,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,

保健
,,試験,小テスト,レポート,成果物・実技,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,100,0,0,100,,
,知識の基本的な理解,0,0,0,10,0,0,10,,
,思考・推論・創造への適応力,0,0,0,60,0,0,60,,
,態度・志向性（人間力）,0,0,0,0,0,0,0,,
,主体的・継続的な学習意欲,0,0,0,20,0,0,20,,
