基礎測量学
,,試験,レポート,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,65,30,0,0,0,5,100,,
,知識の基本的な理解,55,20,0,0,0,0,75,,
,思考・推論・創造への適用力,5,5,0,0,0,0,10,,
,汎用的技能,5,5,0,0,0,0,10,,
,態度,0,0,0,0,0,5,5,,
,,,,,,,,,,

建設材料学
,,試験,小テスト,レポート,"","","",合計
,総合評価割合,50,40,10,0,0,0,100,,
,基礎的能力,25,20,5,0,0,0,50,,
,専門的能力,25,20,5,0,0,0,50,,
,"",0,0,0,0,0,0,0,,
,,,,,,,,,,

建築デザイン演習Ⅰ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,20,0,80,100,,
,基礎的能力,0,0,0,20,0,40,60,,
,専門的能力,0,0,0,0,0,20,20,,
,分野横断的能力,0,0,0,0,0,20,20,,
,,,,,,,,,,

建築デザイン演習Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,0,0,0,0,,
,基礎的能力,0,0,0,0,0,0,0,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

建築デザイン演習Ⅲ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,0,0,100,100,,
,基礎的能力,0,0,0,0,0,50,50,,
,専門的能力,0,0,0,0,0,25,25,,
,分野横断的能力,0,0,0,0,0,25,25,,
,,,,,,,,,,

測量実習Ⅰ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,50,0,0,0,0,50,100,,
,基礎的能力,30,0,0,0,0,25,55,,
,専門的能力,20,0,0,0,0,25,45,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

