機械製図Ⅰ
,,課題図面,小テスト,授業態度,合計
,総合評価割合,80,10,10,100,,
,知識の基本的な理解,10,10,0,20,,
,汎用的技能,70,0,0,70,,
,態度,0,0,10,10,,
,,,,,,,

機械工作実習Ⅰ
,,試験,レポート,成果品・実技,態度,ポートフォリオ,その他,合計
,総合評価割合,0,50,40,0,0,10,100,,
,知識の基本的な理解,0,30,15,0,0,0,45,,
,創造への適用力,0,5,5,0,0,0,10,,
,汎用的技能,0,10,15,0,0,0,25,,
,態度・嗜好性(人間力）,0,5,5,0,0,10,20,,
,,,,,,,,,,

情報処理
,,試験,発表,相互評価,態度,ポートフォリオ,プログラム課題,合計
,総合評価割合,70,0,0,0,0,30,100,,
,基礎的能力,35,0,0,0,0,15,50,,
,専門的能力,35,0,0,0,0,15,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

電気工学
,,試験,レポート,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,50,10,0,0,0,0,60,,
,専門的能力,10,5,0,0,0,0,15,,
,分野横断的能力,20,5,0,0,0,0,25,,
,,,,,,,,,,

