基礎機械製作法Ⅱ
,,試験,レポート,授業態度,合計
,総合評価割合,70,20,10,100,,
,基本的な理解,50,15,10,75,,
,思考・推論・創造への適用力,20,5,0,25,,
,,,,,,,

機械製図Ⅱ
,,課題図面,小テスト,授業態度,合計
,総合評価割合,80,10,10,100,,
,知識の基本的な理解,10,10,0,20,,
,汎用的技能,70,0,0,70,,
,態度,0,0,10,10,,
,,,,,,,

工作実習Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,40,0,60,100,,
,基礎的能力,0,0,0,20,0,30,50,,
,専門的能力,0,0,0,20,0,30,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

電気工学Ⅰ
,,試験,レポート,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,50,10,0,0,0,0,60,,
,専門的能力,10,5,0,0,0,0,15,,
,分野横断的能力,20,5,0,0,0,0,25,,
,,,,,,,,,,

情報処理Ⅱ
,,試験,小テスト,レポート,態度,ポートフォリオ,その他,合計
,総合評価割合,80,0,20,0,0,0,100,,
,基礎的能力,60,0,20,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

工業力学
,,試験,小テスト,レポート,口頭発表,ポートフォリオ,その他,合計
,総合評価割合,80,0,20,0,0,0,100,,
,基礎的能力,60,0,20,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

基礎材料力学
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,0,0,0,0,0,100,,
,基礎的能力,80,0,0,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

材料学
,,試験,小テスト,レポート・発表,成果品・実技,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,知識の基本的な理解,50,10,0,0,0,0,60,,
,思考・推論・創造への適応力,10,5,0,0,0,0,15,,
,汎用的技能,20,5,0,0,0,0,25,,
,態度・嗜好性(人間力),0,0,0,0,0,0,0,,
,総合的な学習経験と創造的思考力,0,0,0,0,0,0,0,,
,,,,,,,,,,

機械設計基礎
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,0,0,10,0,20,100,,
,基礎的能力,50,0,0,10,0,15,75,,
,専門的能力,20,0,0,0,0,5,25,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

機械製図Ⅲ
,,試験・課題,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,10,0,0,20,0,70,100,,
,基礎的能力,5,0,0,20,0,35,60,,
,専門的能力,5,0,0,0,0,35,40,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

創造設計製作
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,20,0,80,100,,
,基礎的能力,0,0,0,20,0,30,50,,
,専門的能力,0,0,0,0,0,50,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

コンピュータ製図
,,試験,演習課題,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,40,10,0,0,0,0,50,,
,専門的能力,40,10,0,0,0,0,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

電気工学Ⅱ
,,試験,レポート,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,50,10,0,0,0,0,60,,
,専門的能力,10,5,0,0,0,0,15,,
,分野横断的能力,20,5,0,0,0,0,25,,
,,,,,,,,,,

電子基礎
,,試験,レポート,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,60,10,0,0,0,0,70,,
,専門的能力,20,10,0,0,0,0,30,,
,分野横断的能力,0,0,0,0,,,,,
,,,,,,,,,,

情報処理Ⅲ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,0,0,0,0,30,100,,
,基礎的能力,35,0,0,0,0,15,50,,
,専門的能力,35,0,0,0,0,15,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

特別講義Ⅲ
,,試験,発表,相互評価,態度,ポートフォリオ,レポート,合計
