電子化学
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,0,0,0,0,30,100,,
,基礎的能力,50,0,0,0,0,20,70,,
,専門的能力,10,0,0,0,0,5,15,,
,分野横断的能力,10,0,0,0,0,5,15,,
,思考・推論・創造への適用力,0,0,0,0,0,0,0,,
,汎用的技能,0,0,0,0,0,0,0,,
,,,,,,,,,,

応用物質工学
,,試験,発表,相互評価,態度,ポートフォリオ,レポート,合計
,総合評価割合,80,0,0,0,0,20,100,,
,基礎的能力,50,0,0,0,0,10,60,,
,専門的能力,20,0,0,0,0,5,25,,
,分野横断的能力,10,0,0,0,0,5,15,,
,,,,,,,,,,

量子化学
,,試験,課題の提出状況・理解度,合計
,総合評価割合,80,20,100,,
,基礎的能力,60,0,60,,
,専門的能力,10,10,20,,
,分野横断的能力,10,10,20,,
,,,,,,

高分子材料工学
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,15,5,0,0,0,0,20,,
,専門的能力,50,10,0,0,0,0,60,,
,分野横断的能力,15,5,0,0,0,0,20,,
,,,,,,,,,,

